busto,cintura,quadril,altura,ombro,medida correta
105.95,89.48,115.55,164.13,36.98,G
89.9,69.46,91.17,157.2,34.57,P
76.66,57.98,82.49,150.72,32.91,PP
95.05,79.58,101.41,161.62,39.66,M
115.14,100.51,122.28,154.06,38.99,GG
77.76,59.81,83.39,178.68,31.29,PP
116.74,98.01,122.88,171.67,36.83,GG
78.21,59.28,85.6,179.7,32.16,PP
116.5,95.65,125.53,163.36,39.81,GG
78.88,57.15,82.83,161.72,36.35,PP
116.14,96.19,120.59,177.85,39.45,GG
94.8,79.91,105.22,170.62,33.77,M
96.65,76.06,101.4,171.98,34.51,M
107.88,86.9,110.4,150.73,38.41,G
94.96,78.94,103.73,172.49,35.96,M
109.5,86.64,114.45,167.88,37.7,G
76.2,57.85,84.2,159.23,30.17,PP
94.21,79.85,101.07,160.49,32.16,M
88.46,67.91,93.28,153.29,31.41,P
116.77,98.43,125.5,163.87,37.03,GG
116.61,98.74,123.62,164.21,39.13,GG
74.42,58.77,81.54,166.49,32.48,PP
79.12,60.35,82.69,165.55,35.07,PP
85.49,66.68,90.79,177.32,33.73,P
96.62,76.87,102.9,155.22,37.47,M
77.23,58.03,80.2,162.89,34.39,PP
94.61,80.31,105.27,173.55,31.91,M
89.52,67.55,91.76,174.71,36.94,P
109.82,89.4,115.05,174.62,36.31,G
76.96,55.46,83.27,176.54,32.63,PP
84.55,70.92,92.9,163.86,39.58,P
88.19,69.22,93.98,161.46,34.7,P
87.34,69.45,91.48,162.53,31.37,P
117.93,98.23,123.84,163.13,37.09,GG
117.79,97.99,123.14,177.65,35.67,GG
115.99,99.39,121.95,173.62,39.22,GG
95.89,75.43,102.82,166.49,37.59,M
107.66,85.19,110.53,164.14,31.4,G
118.67,97.03,122.66,166.27,35.18,GG
94.84,77.51,102.01,157.72,39.36,M
76.48,60.16,84.58,153.22,37.52,PP
74.8,55.73,82.99,157.08,31.32,PP
79.63,60.79,80.78,157.44,38.58,PP
96.9,79.76,103.13,165.21,35.43,M
117.47,98.36,125.73,166.72,33.72,GG
107.15,85.63,114.7,171.06,32.31,G
118.21,98.67,123.94,173.61,35.3,GG
88.38,68.63,90.56,163.06,32.51,P
96.91,75.64,103.88,178.7,31.33,M
84.99,69.0,91.84,168.84,32.78,P
88.06,66.39,95.88,156.14,32.94,P
115.71,97.7,122.78,175.92,32.13,GG
115.7,99.57,122.87,156.85,33.49,GG
114.97,96.99,123.67,173.46,32.23,GG
79.81,56.29,81.29,177.27,35.75,PP
75.74,58.92,81.06,177.21,37.68,PP
85.35,65.56,93.45,157.6,39.3,P
106.86,86.56,114.9,150.57,39.52,G
99.38,75.66,105.92,175.16,39.09,M
104.16,90.36,112.77,166.77,33.13,G
75.81,56.39,80.75,172.7,32.21,PP
118.29,98.25,122.25,159.58,30.74,GG
106.97,87.0,110.95,160.71,32.69,G
109.46,90.27,113.44,157.8,34.18,G
116.63,97.64,123.19,179.02,33.59,GG
106.82,87.54,112.4,152.54,32.45,G
119.33,100.09,125.67,168.35,39.79,GG
97.64,78.07,105.42,169.76,30.05,M
109.92,90.57,113.11,152.92,36.76,G
117.98,95.32,121.12,174.86,34.26,GG
94.18,77.29,103.24,169.99,39.82,M
109.99,89.74,115.03,153.73,35.06,G
89.7,68.66,92.98,151.38,34.75,P
97.4,75.64,100.48,168.98,30.73,M
89.46,70.23,90.49,154.9,36.06,P
114.63,95.7,123.18,164.02,34.78,GG
86.68,66.65,94.68,172.17,30.13,P
106.91,90.7,110.2,178.77,31.6,G
75.77,55.21,82.27,151.11,33.77,PP
79.1,56.02,83.92,162.9,38.67,PP
118.35,99.13,120.87,160.03,33.91,GG
115.0,97.52,120.23,151.4,36.05,GG
78.61,60.95,80.93,166.86,37.53,PP
98.23,77.1,105.41,178.43,32.78,M
94.16,77.75,102.21,156.4,30.23,M
94.81,79.24,105.88,152.45,39.45,M
85.43,70.14,95.45,175.25,32.01,P
85.01,65.58,95.95,169.25,37.15,P
104.83,88.81,114.3,150.63,38.31,G
95.11,79.15,104.34,156.29,39.57,M
96.05,76.52,101.66,162.59,36.28,M
79.6,58.75,81.62,154.52,38.36,PP
75.42,55.35,85.67,178.71,38.69,PP
85.49,68.74,94.75,155.26,33.98,P
85.97,69.27,92.27,157.49,34.98,P
74.94,60.25,85.48,178.45,32.37,PP
115.57,100.56,125.19,170.02,33.36,GG
115.83,95.89,121.28,156.53,39.05,GG
117.02,95.1,122.49,179.77,32.85,GG
109.06,88.3,113.94,162.07,30.55,G
116.37,96.72,122.63,154.66,35.41,GG
77.0,59.76,84.51,154.74,37.42,PP
116.3,99.42,120.09,173.15,38.63,GG
107.93,89.73,113.78,160.66,37.51,G
115.83,99.38,122.2,176.11,31.96,GG
117.52,100.92,124.1,168.42,38.92,GG
107.16,90.87,112.63,175.75,38.56,G
86.77,65.33,95.57,171.81,31.16,P
107.75,85.5,112.34,170.66,30.13,G
84.49,69.19,93.9,177.29,38.55,P
78.42,57.93,80.58,177.91,32.15,PP
117.86,100.93,123.56,167.71,36.72,GG
104.68,88.7,113.33,152.19,33.29,G
85.01,65.64,91.46,172.13,34.72,P
84.68,68.34,92.85,157.63,37.39,P
118.26,100.41,122.16,157.98,36.79,GG
106.4,87.1,113.19,161.57,36.11,G
75.63,55.18,84.1,150.72,35.09,PP
78.54,55.5,83.06,158.66,35.11,PP
75.12,59.74,84.39,170.76,31.3,PP
84.99,65.4,92.94,159.48,37.46,P
114.27,98.11,124.69,177.57,30.5,GG
116.65,98.75,122.64,151.16,34.05,GG
88.63,66.13,92.01,177.28,34.81,P
119.04,97.79,122.24,162.61,38.29,GG
117.74,96.73,121.89,170.82,36.05,GG
95.58,76.66,100.43,170.1,30.51,M
79.1,59.98,80.81,175.52,34.78,PP
94.24,79.05,105.25,153.12,30.49,M
96.12,77.91,100.01,150.04,36.21,M
109.84,85.77,113.97,160.33,33.09,G
84.45,70.01,93.48,170.43,37.61,P
107.19,88.66,110.97,154.0,39.83,G
77.75,59.54,80.78,160.2,32.16,PP
116.88,99.1,121.06,177.24,38.39,GG
105.84,87.97,111.29,166.95,32.56,G
87.0,68.1,93.34,161.7,35.25,P
86.1,69.36,95.84,154.21,36.61,P
119.58,100.63,124.75,168.76,32.85,GG
119.7,98.58,123.09,162.54,34.72,GG
85.05,67.38,91.96,169.89,36.83,P
98.73,79.55,101.25,171.47,31.08,M
96.29,80.43,103.79,163.65,32.31,M
106.27,86.62,111.49,159.2,35.74,G
89.85,70.57,90.99,161.27,37.88,P
105.12,86.68,111.74,166.02,32.3,G
89.67,69.0,93.17,150.39,34.21,P
85.94,69.58,92.76,160.21,31.97,P
79.77,57.46,81.39,162.07,36.6,PP
106.95,88.87,115.29,152.19,33.7,G
114.45,99.72,125.88,163.0,31.78,GG
75.62,59.42,80.58,152.8,32.71,PP
118.14,98.31,120.5,155.67,32.66,GG
74.88,55.79,80.71,151.84,37.8,PP
116.67,95.63,121.05,168.36,32.75,GG
117.36,97.39,123.58,164.43,36.42,GG
74.02,55.76,84.65,172.53,37.95,PP
79.78,59.27,81.06,152.09,39.17,PP
96.37,75.5,105.63,175.81,35.99,M
85.5,70.21,93.19,171.31,38.55,P
107.51,90.91,111.93,167.06,37.74,G
100.0,79.03,101.77,163.34,35.07,M
116.3,96.5,125.34,175.96,34.18,GG
105.97,87.93,113.06,157.81,32.18,G
75.39,56.76,81.98,166.0,30.99,PP
119.3,95.63,122.27,155.12,36.22,GG
98.35,76.18,103.49,151.66,38.75,M
78.83,57.06,80.53,178.53,33.8,PP
106.25,89.14,114.42,170.34,33.6,G
79.52,55.22,85.27,160.72,39.97,PP
74.51,60.75,81.31,173.91,39.66,PP
78.82,58.17,81.04,157.16,34.51,PP
87.31,66.09,95.77,174.24,33.66,P
107.54,88.87,112.55,153.17,38.24,G
87.6,70.3,91.58,175.18,38.97,P
98.7,78.74,104.81,179.92,34.86,M
117.48,96.69,124.83,177.57,38.76,GG
94.95,80.07,104.47,159.01,30.73,M
115.93,97.37,120.51,164.28,36.35,GG
79.65,60.49,84.81,173.34,33.98,PP
94.33,80.25,101.13,174.32,39.48,M
77.03,57.85,83.2,155.59,33.38,PP
98.83,77.51,105.43,173.4,32.52,M
89.24,70.22,93.83,175.1,38.72,P
79.98,57.8,83.98,154.86,32.07,PP
106.93,88.71,112.74,153.54,37.07,G
94.52,77.56,102.2,178.11,32.95,M
77.77,56.21,85.67,171.62,31.11,PP
87.25,68.46,91.16,158.39,37.29,P
87.13,70.17,90.78,160.29,34.44,P
107.47,87.64,111.13,173.33,32.14,G
96.18,80.16,101.94,179.79,30.14,M
84.17,66.37,93.76,162.95,37.76,P
86.64,66.33,95.09,171.45,32.28,P
99.33,80.21,104.99,175.92,32.14,M
115.8,97.7,123.32,179.15,37.02,GG
118.32,97.96,120.28,169.95,31.33,GG
96.42,79.11,104.79,155.62,38.7,M
107.93,88.64,113.37,176.37,37.81,G
107.84,86.27,110.44,155.27,34.23,G
86.26,65.82,92.75,150.79,39.07,P
76.57,57.25,83.11,153.52,36.13,PP
77.44,57.18,80.71,177.09,34.15,PP
115.68,97.86,123.73,151.64,38.54,GG
78.29,57.28,83.59,155.61,32.34,PP
107.09,87.83,114.23,167.76,36.97,G
108.41,87.35,114.86,153.39,36.71,G
94.4,75.69,105.04,172.06,35.06,M
97.41,79.72,103.37,168.48,34.96,M
78.35,59.45,81.14,157.06,31.48,PP
85.78,66.95,93.95,174.33,38.8,P
107.93,86.38,110.81,168.09,38.93,G
104.72,87.62,110.09,168.8,34.08,G
99.48,78.69,102.83,151.96,30.06,M
117.48,95.38,124.43,179.9,34.95,GG
77.16,55.72,80.47,161.27,30.52,PP
97.98,77.41,102.27,163.05,31.13,M
89.1,65.83,95.43,158.68,30.99,P
86.1,68.4,94.17,175.59,39.25,P
106.74,87.03,115.81,154.64,33.34,G
98.41,75.66,102.68,165.91,35.8,M
107.81,89.17,114.58,164.91,34.56,G
95.37,78.06,103.69,168.67,38.21,M
95.48,75.15,102.94,160.03,39.51,M
115.26,95.97,121.36,158.31,30.26,GG
76.91,56.08,81.81,177.21,39.94,PP
104.01,86.55,114.34,162.28,36.21,G
118.76,100.61,121.18,171.14,32.0,GG
76.82,60.34,82.21,158.14,37.31,PP
75.15,57.92,80.65,166.51,33.72,PP
79.85,55.1,84.8,156.44,32.18,PP
85.09,68.32,91.36,175.3,30.6,P
114.17,96.18,125.99,170.98,30.7,GG
107.46,88.62,111.14,167.34,32.01,G
107.1,90.13,115.52,179.61,36.88,G
119.54,96.22,121.23,170.56,38.0,GG
108.46,88.66,113.24,150.86,34.88,G
106.34,85.46,110.89,155.52,32.05,G
86.48,70.13,91.82,179.14,38.79,P
116.6,97.78,122.03,163.54,37.28,GG
77.69,58.89,84.09,156.1,38.62,PP
88.87,67.69,91.39,150.97,35.05,P
94.74,75.84,105.9,174.24,37.31,M
108.87,88.45,114.96,150.36,37.24,G
87.69,66.58,93.73,175.37,32.04,P
95.17,75.05,101.92,179.52,30.73,M
118.47,100.5,123.45,159.52,30.45,GG
104.25,89.44,114.87,150.01,36.13,G
84.74,66.09,95.81,165.83,30.53,P
75.69,55.7,85.36,176.92,36.94,PP
117.08,100.45,120.73,154.41,33.94,GG
98.56,79.14,101.92,161.25,38.62,M
104.31,86.24,115.34,175.02,30.28,G
107.52,90.02,115.9,167.34,34.57,G
114.55,98.13,125.63,174.24,34.37,GG
96.83,77.46,100.6,158.02,37.46,M
98.04,78.66,105.97,172.34,37.61,M
89.83,67.14,92.4,169.11,33.19,P
105.02,90.0,113.54,179.27,30.38,G
114.43,96.81,124.46,176.27,37.67,GG
108.7,89.03,113.74,154.56,38.64,G
87.38,67.59,95.31,174.22,30.49,P
85.09,70.45,93.19,157.82,38.93,P
97.81,78.18,104.76,171.49,39.06,M
95.92,80.5,102.07,170.37,34.8,M
107.29,87.8,112.2,168.92,32.27,G
109.45,89.86,112.09,152.84,39.64,G
116.8,98.15,122.29,168.64,30.68,GG
109.25,85.49,112.67,151.3,34.88,G
78.26,60.84,80.31,157.88,33.27,PP
96.32,77.92,103.59,178.16,37.48,M
88.63,66.51,91.58,154.91,36.77,P
96.85,76.37,102.15,178.72,36.03,M
96.83,78.05,103.08,162.66,36.58,M
95.85,78.39,102.12,172.38,32.46,M
104.4,88.8,114.91,151.5,38.7,G
99.02,75.46,102.43,170.25,39.64,M
87.89,67.42,94.57,175.91,32.95,P
109.6,87.37,112.02,174.93,36.25,G
104.95,85.4,113.02,176.46,34.29,G
97.23,78.28,100.33,170.32,37.49,M
106.32,88.99,113.91,165.44,31.95,G
119.84,99.68,121.86,160.19,30.46,GG
116.65,96.73,125.37,153.51,32.78,GG
95.1,76.73,104.41,162.23,37.46,M
84.24,65.42,91.18,163.52,38.4,P
114.33,97.31,124.9,169.93,37.01,GG
105.56,90.11,112.62,171.6,38.88,G
99.41,75.31,100.43,174.05,38.25,M
88.25,69.1,90.68,163.38,33.54,P
75.8,55.54,84.31,155.79,34.56,PP
97.39,79.84,100.07,156.42,37.87,M
76.88,59.92,83.84,172.95,31.52,PP
95.63,77.52,102.11,160.57,30.98,M
106.3,85.31,115.03,159.34,39.33,G
107.89,87.59,115.06,168.64,35.5,G
77.9,57.17,82.59,154.86,31.35,PP
96.36,78.53,104.99,169.66,33.17,M
88.97,68.0,91.42,158.53,37.83,P
79.42,59.61,81.5,167.23,34.28,PP
119.98,99.54,123.67,175.91,36.54,GG
109.76,89.68,112.91,171.92,37.1,G
105.37,85.43,112.02,159.92,30.23,G
114.41,95.86,121.22,177.87,33.21,GG
98.16,80.95,105.05,177.9,35.79,M
89.82,68.07,92.76,151.53,30.71,P
94.44,78.79,101.76,163.11,38.91,M
98.05,80.57,101.48,161.23,33.47,M
98.78,78.8,102.36,167.37,32.91,M
75.15,58.67,80.29,158.63,31.52,PP
94.47,77.74,101.45,168.63,31.93,M
89.36,67.64,91.65,150.77,35.64,P
94.39,80.57,101.87,179.63,32.53,M
106.56,89.57,114.16,162.93,36.69,G
86.83,68.7,92.3,164.8,33.77,P
95.55,77.8,104.59,176.04,36.56,M
84.18,66.65,94.11,172.08,35.64,P
117.0,100.75,124.08,173.35,36.98,GG
119.87,97.41,120.34,179.92,36.49,GG
109.36,86.38,112.93,175.54,30.08,G
104.91,87.09,115.34,150.64,39.58,G
88.03,67.47,90.31,169.6,39.33,P
94.21,75.93,102.98,157.52,35.54,M
97.6,79.53,102.58,161.91,39.38,M
108.08,85.1,111.09,154.43,36.79,G
78.7,56.07,80.64,174.09,31.55,PP
74.2,56.52,85.68,153.43,32.98,PP
98.44,75.82,103.67,152.67,35.52,M
97.17,78.59,104.2,159.89,30.56,M
87.26,65.35,93.93,167.17,33.54,P
74.95,57.39,82.97,160.96,35.17,PP
97.14,76.17,102.14,154.63,38.08,M
87.41,70.46,92.97,163.68,38.69,P
116.77,97.17,121.2,162.64,32.74,GG
95.29,76.8,105.9,166.57,30.97,M
77.0,57.3,83.3,177.05,35.95,PP
108.01,86.0,113.41,176.97,32.15,G
78.0,56.58,81.45,157.71,35.42,PP
116.85,99.99,120.81,167.29,34.29,GG
118.06,95.78,124.27,179.81,39.04,GG
115.5,97.77,120.2,161.72,35.48,GG
119.0,98.8,120.23,166.88,39.37,GG
76.67,58.66,83.86,174.86,32.7,PP
117.49,95.01,122.28,172.8,32.17,GG
115.72,95.51,123.18,164.98,36.48,GG
75.81,60.79,85.73,154.82,34.98,PP
87.94,69.69,90.97,155.84,38.24,P
106.78,86.98,112.82,163.88,35.03,G
95.37,77.47,103.35,178.91,31.54,M
115.43,100.54,122.51,158.96,35.39,GG
99.6,79.19,104.2,171.62,32.1,M
79.78,59.77,82.95,151.28,33.67,PP
88.98,67.1,90.95,172.95,39.1,P
87.22,69.29,91.16,179.86,39.48,P
109.13,89.33,110.83,170.19,35.61,G
115.76,99.6,122.51,170.29,39.39,GG
109.73,87.96,113.48,179.15,31.9,G
76.37,56.55,82.18,167.06,39.26,PP
107.85,86.32,110.69,159.64,38.46,G
78.7,59.81,81.2,179.09,36.07,PP
116.98,96.06,121.02,165.76,35.74,GG
109.59,86.34,111.15,164.47,33.68,G
77.43,57.06,84.52,170.35,35.99,PP
99.68,79.66,100.66,151.25,38.84,M
86.43,68.87,90.91,153.24,32.19,P
114.25,95.89,122.11,159.75,37.97,GG
96.03,77.54,103.87,151.89,35.87,M
96.69,76.36,105.38,158.8,33.8,M
94.48,81.0,101.4,165.22,39.53,M
78.46,57.65,83.22,157.97,39.07,PP
107.7,89.86,112.75,164.63,31.51,G
79.81,58.5,80.45,162.98,33.45,PP
107.73,88.23,113.0,150.46,38.79,G
94.79,79.81,100.93,163.28,37.06,M
116.76,98.15,125.23,162.74,33.14,GG
105.39,86.96,112.0,151.99,39.02,G
114.98,96.64,124.28,155.5,33.95,GG
114.59,95.62,122.27,161.5,39.36,GG
106.64,88.8,114.7,171.75,36.39,G
94.21,78.19,101.89,151.81,39.47,M
96.78,79.52,102.61,165.45,39.52,M
114.46,96.61,122.91,178.66,30.92,GG
88.08,68.87,93.67,168.0,35.03,P
84.04,69.24,93.54,166.92,32.15,P
85.19,68.31,95.62,159.6,35.51,P
118.27,99.93,122.24,164.33,36.82,GG
88.68,69.97,95.19,169.91,35.87,P
114.68,95.45,122.22,165.98,30.03,GG
89.94,67.96,90.63,166.55,36.47,P
104.16,87.48,111.75,151.69,32.49,G
86.57,70.36,94.36,171.24,36.9,P
115.07,99.73,125.68,151.25,32.97,GG
87.49,70.1,90.34,165.23,34.38,P
104.47,87.65,110.35,152.24,35.8,G
79.32,56.46,80.97,163.18,37.67,PP
104.29,85.88,110.49,179.15,32.88,G
119.95,97.15,124.68,172.58,32.92,GG
97.87,78.09,100.39,178.1,32.11,M
75.05,55.92,84.69,174.84,32.89,PP
109.16,89.77,112.22,161.64,35.07,G
79.17,58.45,80.58,176.94,35.96,PP
88.55,67.92,92.43,166.66,36.16,P
115.52,100.41,123.45,155.14,39.98,GG
86.02,68.45,93.19,172.11,30.92,P
98.6,80.11,101.51,166.1,33.54,M
114.47,96.71,122.5,171.96,37.47,GG
115.36,97.91,121.1,163.58,36.7,GG
85.69,70.61,91.72,169.69,36.97,P
116.22,100.82,124.52,151.28,32.06,GG
106.1,86.47,112.83,179.57,34.08,G
85.13,66.15,93.6,166.29,35.69,P
106.96,86.48,114.02,157.83,35.85,G
105.52,87.85,113.06,150.2,33.82,G
108.79,87.48,115.23,177.44,32.15,G
96.69,79.82,102.38,172.74,35.54,M
115.37,99.26,124.38,156.46,36.13,GG
107.29,88.31,113.73,151.67,33.42,G
104.55,90.14,113.97,161.36,33.6,G
118.88,98.83,123.72,159.34,39.5,GG
76.67,57.9,84.71,170.68,33.89,PP
109.11,89.4,112.92,176.5,35.23,G
75.48,60.17,81.15,159.61,38.95,PP
116.77,96.28,121.01,154.26,36.04,GG
87.92,67.81,94.65,154.98,38.44,P
104.3,88.64,110.34,179.9,36.31,G
116.82,95.75,120.51,154.46,37.92,GG
88.22,66.09,93.56,166.2,36.62,P
107.3,89.24,113.25,154.18,39.06,G
97.89,75.56,104.54,158.06,37.59,M
118.99,95.1,120.39,170.15,31.97,GG
79.07,55.12,81.88,161.63,37.14,PP
99.26,79.83,102.23,156.71,33.6,M
114.17,96.05,125.56,162.75,39.75,GG
105.8,87.26,110.33,161.35,33.39,G
116.61,100.0,124.75,151.96,37.31,GG
118.03,95.64,120.78,153.85,34.66,GG
108.36,85.15,115.96,150.96,38.46,G
96.26,80.68,102.45,162.76,32.21,M
84.54,65.24,93.17,172.65,31.06,P
96.15,78.85,102.29,164.0,39.89,M
79.87,58.67,81.05,166.01,31.07,PP
115.3,99.44,125.19,152.19,31.23,GG
106.09,90.1,111.39,177.47,30.11,G
79.3,58.16,85.96,155.73,31.13,PP
116.7,99.35,122.54,154.7,37.8,GG
75.95,55.53,85.31,159.6,30.17,PP
118.53,100.06,123.54,178.58,36.13,GG
94.44,76.09,102.08,163.41,35.17,M
79.89,59.31,84.26,164.53,30.64,PP
87.06,65.15,90.42,161.64,38.18,P
116.31,98.01,121.81,170.07,34.35,GG
85.33,69.95,94.41,177.89,36.59,P
118.77,95.76,122.56,174.47,30.8,GG
119.99,96.73,121.1,178.95,37.71,GG
115.63,99.27,123.36,169.13,33.45,GG
89.61,68.67,95.91,160.5,30.77,P
95.42,77.26,101.48,159.89,37.15,M
89.34,67.08,92.13,157.93,30.68,P
98.95,76.63,100.3,151.89,30.89,M
94.85,78.79,104.19,153.99,35.67,M
89.58,69.57,92.31,153.16,39.42,P
89.86,70.9,91.96,178.24,32.71,P
95.95,75.92,101.19,177.1,38.53,M
105.27,86.27,111.08,155.87,36.38,G
98.35,78.57,100.0,157.24,37.42,M
95.85,78.03,105.56,150.63,33.0,M
76.62,57.09,84.38,176.88,36.85,PP
114.96,99.77,120.79,162.29,36.81,GG
116.45,100.82,122.37,176.58,36.37,GG
88.07,67.41,92.92,153.04,30.43,P
104.98,88.91,115.34,156.95,31.35,G
117.62,99.22,121.7,174.78,37.35,GG
84.1,66.09,91.78,150.82,35.14,P
94.55,79.97,102.89,160.75,30.59,M
118.27,95.23,123.15,174.6,36.46,GG
86.64,65.29,90.12,172.78,37.64,P
117.99,100.24,122.43,172.7,38.99,GG
114.74,95.8,124.48,161.62,35.38,GG
74.01,57.44,83.55,156.28,33.27,PP
74.82,58.94,83.62,157.0,30.37,PP
105.34,89.5,110.43,167.04,36.25,G
79.78,55.67,82.26,156.0,34.54,PP
79.59,56.96,81.05,175.52,39.82,PP
108.25,86.57,115.42,154.21,36.55,G
115.83,97.84,121.83,155.04,35.75,GG
78.26,57.33,81.07,160.01,36.04,PP
89.42,70.14,90.41,177.71,39.47,P
74.8,59.27,85.88,155.13,36.92,PP
108.8,88.2,114.93,161.03,38.17,G
76.72,60.17,80.97,159.74,38.63,PP
117.49,100.16,121.73,157.66,34.11,GG
78.89,60.66,81.57,172.22,33.62,PP
86.71,67.65,93.16,178.46,32.29,P
115.27,95.96,120.53,173.1,38.56,GG
94.39,76.05,105.72,164.5,34.19,M
116.47,99.17,121.26,166.63,37.8,GG
104.36,85.98,111.57,170.39,37.41,G
107.44,87.26,111.68,163.58,30.71,G
95.75,77.78,100.17,151.1,32.52,M
74.66,59.7,82.11,174.48,36.95,PP
79.97,59.53,82.54,159.33,38.63,PP
117.58,96.34,124.73,177.41,34.31,GG
77.36,60.56,83.21,167.63,31.61,PP
114.43,97.48,124.85,170.47,39.08,GG
89.9,66.07,92.95,172.57,39.08,P
114.94,96.21,120.18,151.7,36.22,GG
77.95,59.91,83.82,169.72,36.47,PP
109.45,86.29,113.65,173.4,30.16,G
87.72,67.19,94.22,156.15,31.7,P
117.06,97.28,122.69,165.13,32.95,GG
75.56,55.79,83.37,153.41,33.47,PP
75.08,58.48,81.42,158.6,32.48,PP
119.82,95.31,125.25,155.23,38.37,GG
74.79,57.78,84.73,159.8,38.07,PP
98.52,79.49,102.23,169.18,34.88,M
79.57,60.99,83.87,158.9,32.96,PP
86.9,70.24,94.49,153.11,30.67,P
88.1,70.7,95.79,178.07,37.39,P
105.01,86.53,114.86,151.42,33.86,G
89.99,65.87,92.66,167.67,35.59,P
96.93,75.16,104.74,168.03,31.46,M
89.99,70.21,92.88,173.65,31.01,P
77.26,59.54,81.71,177.39,31.46,PP
95.13,80.53,105.6,162.97,36.34,M
114.84,95.76,121.43,151.03,31.06,GG
106.48,88.52,111.24,153.77,31.28,G
114.14,96.35,123.06,167.61,31.14,GG
75.79,56.3,80.91,171.14,33.39,PP
95.39,78.67,102.21,167.55,31.62,M
78.04,59.85,80.05,159.99,32.43,PP
78.92,56.89,83.6,163.96,39.38,PP
105.16,85.24,113.94,152.71,36.52,G
77.22,57.03,83.13,176.52,33.8,PP
88.44,69.63,95.4,166.92,30.91,P
96.1,80.67,103.27,172.23,34.87,M
86.31,70.37,95.41,175.14,30.04,P
99.69,75.41,100.75,173.67,34.42,M
95.29,76.65,103.95,170.45,37.41,M
117.43,97.79,124.06,175.62,31.26,GG
108.41,88.54,115.5,178.09,33.85,G
79.16,56.6,81.5,167.91,33.42,PP
79.85,59.7,80.87,172.59,34.91,PP
107.65,88.27,112.25,159.17,31.75,G
118.66,96.95,125.82,173.15,33.12,GG
94.64,77.89,101.39,160.01,35.23,M
115.87,99.83,121.2,169.0,37.69,GG
98.38,77.73,104.94,172.25,38.18,M
95.28,80.31,103.85,170.56,37.84,M
115.9,97.04,122.45,177.62,33.68,GG
96.91,75.78,101.69,159.54,34.25,M
88.09,67.05,92.59,175.25,38.56,P
76.5,60.15,82.87,154.53,34.06,PP
96.07,80.5,104.59,154.06,31.27,M
117.6,100.59,124.18,170.58,38.38,GG
105.13,88.99,114.88,152.24,31.2,G
75.27,58.54,81.36,164.62,38.52,PP
114.04,96.86,124.46,178.6,37.82,GG
98.47,75.05,103.85,164.88,34.87,M
84.35,66.17,92.52,172.63,31.06,P
118.15,96.46,123.56,158.21,35.14,GG
104.5,85.61,110.87,154.5,34.28,G
117.36,96.68,121.12,172.47,36.08,GG
94.21,77.91,105.56,160.76,33.7,M
97.08,76.62,102.11,174.43,36.99,M
96.02,78.31,102.48,166.66,37.56,M
106.53,87.45,115.47,157.74,30.72,G
116.69,100.28,124.04,165.62,31.25,GG
76.0,58.86,86.0,175.71,32.22,PP
74.35,56.45,80.05,160.2,32.68,PP
109.69,90.67,115.8,159.61,32.66,G
84.4,66.99,93.51,169.44,31.46,P
77.97,59.62,82.57,152.59,38.64,PP
116.11,100.3,121.0,165.13,37.83,GG
95.49,80.25,105.79,157.18,30.01,M
88.49,70.03,95.16,160.03,32.32,P
75.26,60.73,80.28,156.18,33.43,PP
88.05,66.6,93.08,151.28,34.3,P
109.48,89.77,114.67,169.4,32.82,G
94.16,78.54,102.45,160.97,32.15,M
117.38,97.81,124.15,172.19,37.34,GG
87.2,70.12,91.72,160.29,31.25,P
87.67,68.39,92.0,167.63,36.82,P
94.22,77.4,100.83,168.95,33.77,M
95.86,79.7,100.94,162.0,33.28,M
96.59,77.89,100.82,170.94,39.11,M
86.72,67.64,93.36,154.95,39.1,P
98.59,78.49,101.03,150.08,30.2,M
104.56,88.89,112.71,172.43,30.98,G
119.22,95.14,124.9,165.32,39.9,GG
109.41,87.62,113.81,179.44,38.79,G
95.45,78.18,104.3,178.4,36.14,M
119.38,99.7,121.85,168.29,36.52,GG
114.13,97.12,124.93,176.16,38.47,GG
77.28,58.27,80.01,155.13,39.61,PP
84.56,67.6,93.94,178.47,31.58,P
105.85,89.63,110.23,177.13,33.35,G
106.42,87.16,112.65,160.39,35.66,G
107.28,88.2,110.78,160.1,30.54,G
75.52,55.89,81.5,160.61,32.25,PP
85.92,70.36,94.46,167.35,32.27,P
86.12,70.7,92.15,153.13,30.23,P
115.84,99.77,124.59,156.06,38.32,GG
96.3,78.47,105.62,169.78,34.2,M
114.67,100.64,122.87,173.33,37.3,GG
107.41,87.32,111.98,170.72,34.22,G
95.49,77.75,102.17,158.24,32.32,M
117.05,97.43,125.57,172.47,34.49,GG
79.06,58.37,85.0,167.22,32.22,PP
76.12,57.73,81.75,167.89,38.63,PP
79.99,57.34,80.17,173.32,36.24,PP
84.41,65.8,92.49,166.71,39.49,P
109.15,85.97,110.5,155.65,32.34,G
85.76,67.65,94.86,174.96,36.8,P
97.9,76.18,104.04,169.83,33.6,M
118.95,100.53,125.75,166.16,35.92,GG
104.63,89.42,114.74,158.61,30.69,G
119.92,96.13,121.34,162.88,34.39,GG
85.98,68.75,91.49,156.74,37.1,P
108.27,87.88,115.15,158.71,31.97,G
104.43,88.27,112.03,156.72,31.64,G
89.48,69.25,95.12,161.8,36.71,P
99.13,76.24,104.08,170.22,38.42,M
94.55,76.89,103.28,154.28,39.14,M
